Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
04/15/2016,Bank account or service,Checking account,Using a debit or ATM card,,"Description from my complaint : On Monday, XXXX XXXX, I attempted to use my debit card and it was declined. Knowing there were funds available, I called the customer service number at Santander. I spoke to a woman who informed me that my card had been flagged for fraudulent activity and canceled/put on hold on Friday, XXXX XXXX. I never received a phone call telling me this. I tell her the charges on the card were not fraudulent, as I was traveling for work all week and weekend and had purchased the items. The woman then lifted the freeze on my card, and I was able to make an online purchase. 

A few hours later, I go to use my card again. It is declined. I call the bank back and am hung up on in the middle of speaking to someone twice. I call back a third time. The woman is so rude to me regarding the charges that I tell her I will go to my local branch. I walk to my local branch ( XXXX ), and the manager there informs me my card has this time been canceled, confirms a new one has been ordered, confirms my address and I leave. 

That was XXXX XXXX. Today is XXXX XXXX. After going to the bank numerous times and having the card sent to XXXX separate addresses, I have still not received a debit card. I have not had a debit card for my account for 43 days. 

I have already filled out a survey explaining all of this following my calls with the customer service center. No one ever called me. I have never been contacted regarding my issues, despite numerous phone calls and visits to my local branch. The service I have received, particularly being a new customer, is borderline unbelievable. 

At this time, I have gone on my online banking on my own and ordered a new card, and put in a THIRD address, hoping it would come there. To be very clear, both my home and the additional address I used ( work ) are extremely secure, so neither of these are instances of mail disappearing. They simply never arrived. 43 days later, I 'm ordering my own card, having never been contacted by customer service and still without a card, which I 'll spend another week waiting for, hoping it will arrive. 
",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Santander Bank US,MA,021XX,,Consent provided,Web,04/15/2016,Closed with explanation,Yes,No,1881263
07/12/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,GA,30024,,Consent not provided,Web,07/13/2016,Closed with non-monetary relief,Yes,No,2008914
07/13/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,"A debt collection agency has been repeatedly calling family and friends to contact me when I never gave out the info of those people that they call. I 'm willing to talk to the agency, however they never make attempts to call my phone. Instead they keep calling third parties that are in no way a part of the debt nor should the agency have their numbers.",Company believes it acted appropriately as authorized by contract or law,Credit Corp Solutions Inc.,NE,684XX,,Consent provided,Web,07/13/2016,Closed with explanation,Yes,No,2009219
05/06/2014,Debt collection,Auto,False statements or representation,Attempted to collect wrong amount,,,Wells Fargo & Company,NY,12204,,,Web,05/06/2014,Closed with explanation,Yes,No,839980
09/25/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Contacted me after I asked not to,,,"EOS Holdings, Inc.",IL,60661,,,Web,09/25/2013,Closed with explanation,Yes,Yes,542520
11/25/2014,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,,"I.Q. Data International, Inc.",CA,92656,,,Web,12/02/2014,Closed with explanation,Yes,Yes,1130542
06/11/2014,Credit card,,Billing disputes,,,,Discover,TN,37206,,,Web,06/11/2014,Closed with explanation,Yes,No,890747
02/05/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Quicken Loans,CA,91709,,,Web,02/06/2013,Closed with explanation,Yes,No,300502
11/03/2016,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,,,Discover,CA,92782,,Other,Web,11/07/2016,In progress,Yes,,2194063
10/14/2015,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,"Midland Funding LLC filed a lawsuit against me for an alleged debt they allegedly purchased from XXXX. I had sent them a Notice of Dispute/debt Validation but they did not validate the debt. I settled with them for a nuisance value of {$1000.00}. However, they have issued a XXXX for cancelled debt which is not mine. I have disputed this XXXX with IRS and Midland, who have failed to provide proof of ownership or validation of this debt. 

Also, this issue arose XX/XX/XXXX and Midland Funding issued the XXXX directly to IRS with NO copy to me or my Attorney. Is this legal? this is under-handed tactic and I only became aware of this as I was audited by the IRS XX/XX/XXXX for failing to declare this XXXXof XX/XX/XXXX, of which I had no knowledge. 
",,Encore Capital Group,NJ,088XX,,Consent provided,Web,10/14/2015,Closed with explanation,Yes,No,1605455
04/16/2013,Money transfers,Domestic (US) money transfer,Other transaction issues,,,,Amex,NE,68005,,,Web,04/16/2013,Closed with monetary relief,Yes,Yes,383576
05/20/2014,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,Genworth Financial,,,,,Web,05/21/2014,Closed with explanation,Yes,No,860019
